일시,서울 기온(°C),서울 강수량(mm),서울 풍속(m/s),서울 풍향(16방위),서울 습도(%),서울 증기압(hPa),서울 이슬점온도(°C),서울 현지기압(hPa),서울 해면기압(hPa),서울 일조(hr),서울 일사(MJ/m2),서울 시정(10m),서울 지면온도(°C),부산 기온(°C),부산 강수량(mm),부산 풍속(m/s),부산 풍향(16방위),부산 습도(%),부산 증기압(hPa),부산 이슬점온도(°C),부산 현지기압(hPa),부산 해면기압(hPa),부산 일조(hr),부산 일사(MJ/m2),부산 시정(10m),부산 지면온도(°C)
2021-09-20 21:00,24.5,,3.0,110.0,60,18.4,16.2,998.4,1008.1,,,2000,23.1,22.9,,2.0,50.0,84,23.4,20.0,1003.1,1011.1,,,5000,23.0
2021-09-20 22:00,24.2,,2.9,90.0,63,19.0,16.7,997.5,1007.2,,,2000,22.3,22.9,,1.4,70.0,85,23.7,20.2,1002.9,1010.9,,,5000,22.8
2021-09-20 23:00,23.8,,3.6,110.0,66,19.4,17.0,997.7,1007.4,,,2000,22.2,22.7,,2.2,50.0,87,24.0,20.4,1002.8,1010.8,,,4622,22.5
2021-09-21 00:00,23.5,,3.3,90.0,67,19.4,17.0,996.8,1006.5,,,2000,22.8,23.0,,0.9,50.0,89,24.9,21.0,1002.4,1010.3,,,3948,22.9
2021-09-21 01:00,21.9,4.7,2.1,90.0,85,22.2,19.2,996.4,1006.2,,,189,20.9,23.2,,0.3,0.0,89,25.2,21.2,1001.8,1009.7,,,3274,22.9
2021-09-21 02:00,20.9,10.6,2.3,50.0,92,22.7,19.5,996.0,1005.9,,,457,20.6,23.2,,2.0,200.0,94,26.6,22.1,1001.3,1009.2,,,1467,22.7
2021-09-21 03:00,20.8,0.7,2.2,70.0,96,23.5,20.1,995.2,1005.0,,,881,21.1,23.4,,3.4,200.0,93,26.6,22.1,1000.7,1008.6,,,1452,23.0
2021-09-21 04:00,20.6,6.0,2.2,70.0,94,22.7,19.5,994.4,1004.3,,,957,20.9,23.8,,4.8,200.0,89,26.1,21.8,1000.6,1008.5,,,3501,23.0
2021-09-21 05:00,20.7,0.6,1.6,90.0,97,23.7,20.2,994.5,1004.3,,,572,21.1,23.6,,4.8,200.0,94,27.2,22.5,1000.1,1008.0,,,2677,23.2
2021-09-21 06:00,20.7,10.0,0.8,200.0,98,23.8,20.3,995.4,1005.3,,,198,20.7,23.5,,4.5,200.0,93,26.8,22.2,999.8,1007.7,,,3068,22.9
2021-09-21 07:00,20.8,6.7,1.2,160.0,98,24.0,20.4,995.8,1005.7,0.0,0.01,327,20.9,24.3,,5.2,200.0,88,26.6,22.1,999.6,1007.5,0.2,0.16,3903,24.0
2021-09-21 08:00,21.1,1.3,0.7,70.0,94,23.4,20.0,994.9,1004.7,0.0,0.16,2000,22.1,24.6,,4.8,200.0,89,27.4,22.6,999.6,1007.5,0.1,0.38,2675,25.3
2021-09-21 09:00,21.2,0.0,1.7,140.0,93,23.4,20.0,995.4,1005.2,0.0,0.22,1934,21.9,25.0,,6.7,200.0,87,27.4,22.6,999.5,1007.4,0.0,0.48,3134,26.2
2021-09-21 10:00,21.2,0.0,2.9,180.0,92,23.1,19.8,995.7,1005.5,0.0,0.21,2000,22.3,24.9,0.0,5.8,200.0,87,27.2,22.5,999.4,1007.3,0.0,0.77,2949,26.6
2021-09-21 11:00,21.4,1.0,2.6,200.0,94,23.8,20.3,995.7,1005.5,0.0,0.36,1996,24.7,23.2,4.5,6.9,200.0,98,27.7,22.8,999.6,1007.5,0.0,0.11,355,24.3
2021-09-21 12:00,22.9,,2.9,200.0,88,24.4,20.7,995.3,1005.0,0.3,1.25,2000,28.8,22.6,1.5,6.7,230.0,95,26.0,21.7,999.5,1007.4,0.0,0.19,2233,24.0
2021-09-21 13:00,24.2,,2.8,200.0,77,23.2,19.9,994.9,1004.6,0.3,1.64,2000,31.4,23.3,0.6,8.1,230.0,94,26.8,22.2,997.9,1005.8,0.1,0.97,3115,27.6
2021-09-21 14:00,25.2,,4.1,230.0,68,21.7,18.8,994.3,1004.0,0.6,2.28,2000,31.0,23.0,0.1,7.0,230.0,96,26.9,22.3,997.5,1005.4,0.0,0.79,2142,25.6
2021-09-21 15:00,26.1,,4.9,180.0,64,21.6,18.7,993.9,1003.5,0.8,2.48,2000,31.2,22.7,1.2,4.7,230.0,96,26.4,22.0,997.0,1004.9,0.0,0.24,4191,24.6
2021-09-21 16:00,25.5,,4.2,230.0,64,20.8,18.1,993.9,1003.6,0.5,1.48,2000,27.1,22.8,0.0,4.7,200.0,96,26.6,22.1,997.1,1005.0,0.0,0.16,3858,24.5
2021-09-21 17:00,25.4,,4.1,230.0,62,20.0,17.5,994.0,1003.7,0.8,1.21,2000,25.2,23.1,,2.8,230.0,96,27.1,22.4,997.2,1005.1,0.0,0.19,3258,24.7
2021-09-21 18:00,24.3,,3.8,250.0,68,20.6,18.0,994.0,1003.6,0.9,0.5,2000,23.0,23.4,,2.5,230.0,94,26.9,22.3,997.0,1004.9,0.0,0.15,4026,24.6
2021-09-21 19:00,23.3,,2.9,230.0,77,22.0,19.0,994.2,1003.9,0.1,0.04,2000,22.0,22.7,,3.0,230.0,92,25.3,21.3,997.4,1005.3,0.0,0.03,4983,23.4
2021-09-21 20:00,23.1,,4.3,180.0,78,22.0,19.0,994.9,1004.6,,,2000,21.8,22.0,,4.3,270.0,93,24.6,20.8,997.7,1005.7,,,4692,22.4
2021-09-21 21:00,22.8,,3.6,180.0,81,22.4,19.3,995.5,1005.2,,,2000,21.5,22.0,,3.8,250.0,93,24.6,20.8,998.6,1006.6,,,3981,21.9
2021-09-21 22:00,21.3,,6.3,290.0,74,18.6,16.4,996.4,1006.2,,,2000,21.1,21.7,,5.2,250.0,92,23.8,20.3,998.4,1006.4,,,3177,21.5
2021-09-21 23:00,19.5,0.0,6.0,320.0,77,17.4,15.3,996.1,1005.9,,,2000,19.9,21.5,,4.5,250.0,92,23.5,20.1,998.9,1006.9,,,3122,21.2
2021-09-22 00:00,17.4,26.5,3.1,320.0,93,18.4,16.2,996.2,1006.2,,,608,17.7,21.4,,3.5,250.0,92,23.4,20.0,999.0,1007.0,,,2661,21.0
2021-09-22 01:00,17.6,4.2,2.1,360.0,96,19.2,16.9,996.6,1006.6,,,1066,18.2,21.8,,2.1,230.0,89,23.1,19.8,998.9,1006.9,,,2388,21.6
2021-09-22 02:00,17.4,0.1,2.0,70.0,94,18.6,16.4,996.2,1006.2,,,2000,18.3,21.5,,3.4,250.0,90,22.9,19.7,998.7,1006.7,,,2028,21.1
2021-09-22 03:00,17.1,,1.4,20.0,94,18.3,16.1,995.7,1005.7,,,1837,17.9,21.5,,4.4,250.0,89,22.8,19.6,998.9,1006.9,,,2884,20.7
2021-09-22 04:00,17.0,,1.4,50.0,95,18.3,16.1,996.0,1006.0,,,1946,17.6,21.2,,5.3,250.0,87,21.8,18.9,998.9,1006.9,,,3274,20.3
2021-09-22 05:00,16.8,,2.0,360.0,95,18.1,15.9,996.1,1006.1,,,1575,17.4,20.7,,4.4,250.0,90,21.8,18.9,998.9,1006.9,,,2766,20.0
2021-09-22 06:00,17.0,,1.6,20.0,96,18.5,16.3,996.6,1006.6,,,1176,18.2,20.6,,4.9,250.0,90,21.7,18.8,999.4,1007.4,,,1836,19.9
2021-09-22 07:00,17.5,,1.1,20.0,98,19.5,17.1,996.9,1006.9,0.0,0.04,1094,19.0,20.7,,4.5,270.0,86,20.9,18.2,1000.0,1008.0,0.2,0.09,2248,20.3
2021-09-22 08:00,18.1,0.2,0.8,50.0,97,20.1,17.6,997.3,1007.2,0.1,0.22,1174,20.1,21.8,,5.0,250.0,83,21.6,18.7,1000.3,1008.3,1.0,0.65,2445,22.1
2021-09-22 09:00,19.7,,1.5,180.0,96,22.0,19.0,997.3,1007.1,0.4,0.81,1907,23.2,23.0,,5.2,250.0,79,22.1,19.1,1000.5,1008.4,1.0,1.41,2873,26.3
2021-09-22 10:00,21.2,,2.6,250.0,83,20.8,18.1,997.6,1007.5,0.5,1.27,2000,24.1,24.3,,5.2,250.0,76,22.9,19.7,1000.9,1008.8,1.0,2.03,3422,26.2
2021-09-22 11:00,22.5,,3.1,250.0,74,20.1,17.6,997.7,1007.5,0.4,1.52,2000,29.7,25.1,,,,74,23.5,20.1,1001.0,1008.9,,,2925,30.4
2021-09-22 12:00,23.1,,3.9,250.0,66,18.5,16.3,997.6,1007.3,0.5,1.85,2000,29.0,25.9,,,,71,23.7,20.2,1000.6,1008.5,,,3267,33.3
2021-09-22 13:00,22.9,0.0,3.5,250.0,67,18.6,16.4,997.7,1007.5,0.5,1.73,2000,24.8,26.7,0.0,,,69,24.1,20.5,1000.7,1008.6,,,4146,33.1
2021-09-22 14:00,23.8,0.0,4.0,250.0,64,18.8,16.5,997.6,1007.3,0.5,1.78,2000,30.4,22.2,4.0,,,80,21.3,18.5,1000.5,1008.5,,,5000,33.0
2021-09-22 15:00,23.7,,5.6,270.0,60,17.5,15.4,997.7,1007.4,0.6,1.81,2000,27.4,24.6,,,,74,22.8,19.6,1000.4,1008.3,,,5000,33.9
2021-09-22 16:00,24.1,,4.4,250.0,58,17.4,15.3,997.9,1007.6,0.9,1.86,2000,27.2,24.4,,,,69,21.0,18.3,1000.3,1008.2,,,5000,28.0
2021-09-22 17:00,23.8,,3.6,270.0,60,17.6,15.5,998.2,1007.9,1.0,1.37,2000,23.8,24.9,,3.8,230.0,69,21.7,18.8,1000.4,1008.3,1.0,1.17,5000,25.8
2021-09-22 18:00,22.4,,4.4,250.0,66,17.8,15.7,999.0,1008.8,1.0,0.59,2000,21.7,24.1,,2.1,270.0,68,20.4,17.8,1000.5,1008.4,1.0,0.43,5000,24.2
2021-09-22 19:00,21.3,,2.8,250.0,72,18.2,16.0,999.6,1009.5,0.1,0.04,2000,20.2,22.9,,2.9,250.0,73,20.2,17.7,1000.9,1008.8,0.0,0.02,5000,22.8
2021-09-22 20:00,20.7,,3.0,250.0,75,18.3,16.1,1000.6,1010.5,,,2000,19.6,22.7,,3.9,270.0,78,21.4,18.6,1001.7,1009.7,,,3983,22.2
2021-09-22 21:00,20.5,,3.6,250.0,77,18.5,16.3,1001.5,1011.4,,,2000,19.4,22.7,,2.9,270.0,84,23.1,19.8,1002.3,1010.3,,,2676,22.1
2021-09-22 22:00,19.7,,2.9,270.0,75,17.2,15.1,1002.1,1012.0,,,2000,18.7,23.0,,2.4,270.0,86,24.1,20.5,1002.6,1010.5,,,1946,22.2
2021-09-22 23:00,18.8,,1.6,340.0,75,16.2,14.2,1002.3,1012.2,,,2000,18.1,22.9,,3.5,270.0,89,24.7,20.9,1002.7,1010.7,,,1095,22.1
